"Id","Titre","Artiste","Année","Durée","Genre"
350,"The Loco-Motion ","Little Eva",1962,00:02:28,"Pop"
351,"The Great Pretender ","The Platters",1955,00:02:37,"Soul – R&B"
352,"All Shook Up ","Elvis Presley",1957,00:01:58,"Pop"
353,"Tears in Heaven ","Eric Clapton",1992,00:04:31,"Rock"
354,"Watching the Detectives ","Elvis Costello",1977,00:03:44,"Rock"
355,"Bad Moon Rising ","Creedence Clearwater Revival",1969,00:02:19,"Country"
356,"Sweet Dreams (Are Made of This) ","Eurythmics",1983,00:03:36,"Pop"
357,"Little Wing ","The Jimi Hendrix Experience",1967,00:02:25,"Rock"
358,"Nowhere to Run ","Martha and the Vandellas",1965,00:02:56,"Soul – R&B"
359,"Got My Mojo Working ","Muddy Waters",1957,00:02:52,"Blues"
360,"Killing Me Softly with His Song ","Roberta Flack",1973,00:04:46,"Pop"
361,"Complete Control ","The Clash",1977,00:03:12,"Indé et Alternatif"
362,"All You Need Is Love ","The Beatles",1967,00:03:47,"Rock"
363,"The Letter ","The Box Tops",1967,00:01:52,"Pop"
364,"Highway 61 Revisited ","Bob Dylan",1965,00:03:30,"Rock"
365,"Unchained Melody ","The Righteous Brothers",1965,00:03:37,"Pop"
366,"How Deep Is Your Love ","Bee Gees",1977,00:04:02,"Pop"
367,"White Room ","Cream",1968,00:04:58,"Pop"
368,"Personal Jesus ","Depeche Mode",1989,00:03:45,"Rock"
369,"I'm a Man ","Bo Diddley",1955,00:03:01,"Rock"
370,"The Wind Cries Mary ","The Jimi Hendrix Experience",1967,00:03:20,"Pop"
371,"I Can't Explain ","The Who",1965,00:02:26,"Rock"
372,"Marquee Moon ","Television",1977,00:10:38,"Rock"
373,"Wonderful World ","Sam Cooke",1960,00:02:06,"Soul – R&B"
