Année;Département (code);Département (libellé);Commune active (code);Commune active (libellé);Nombre de personnes;Nombre de personnes de 15 ans ou plus;Nombre de personnes actives de 15 ans ou plus;Nombre de personnes actives de 15 ans ou plus ayant un emploi
2011;53;Mayenne;53073;Congrier;924.000001;731.999984;459.000011;392.000018
2011;53;Mayenne;53095;Épineux-le-Seguin;235.000001;171.375547;118.01311;90.305673
2013;49;Maine-et-Loire;49215;Montreuil-Bellay;4030.0;3272.0;1816.0;1572.0
2013;49;Maine-et-Loire;49217;Montreuil-sur-Maine;678.0;498.0;357.0;325.0
2013;49;Maine-et-Loire;49219;Montsoreau;445.0;378.0;176.0;145.0
2013;49;Maine-et-Loire;49241;Plessis-Grammoire;2328.0;1776.0;1055.0;1004.0
2013;49;Maine-et-Loire;49246;Ponts-de-Cé;12104.0;9942.0;5284.0;4777.0
2013;49;Maine-et-Loire;49301;Sèvremoine;7193.0;5472.0;3384.0;3097.0
2013;49;Maine-et-Loire;49307;Loire-Authion;2429.0;1940.0;1001.0;948.0
2013;49;Maine-et-Loire;49310;Saint-Paul-du-Bois;602.0;469.0;285.0;260.0
2013;49;Maine-et-Loire;49336;Somloire;914.0;712.0;408.0;368.0
2013;49;Maine-et-Loire;49339;Soulaire-et-Bourg;1450.0;1064.0;592.0;563.0
2013;53;Mayenne;53082;Courbeveille;644.0;452.0;309.0;310.0
2013;53;Mayenne;53084;Craon;4472.0;3796.0;1718.0;1593.0
2013;53;Mayenne;53088;Cuillé;916.0;734.0;422.0;356.0
2013;53;Mayenne;53100;Fougerolles-du-Plessis;1281.0;1131.0;497.0;460.0
2013;53;Mayenne;53131;Lesbois;178.0;119.0;31.0;78.0
2013;53;Mayenne;53138;Longuefuye;337.0;242.0;169.0;195.0
2013;53;Mayenne;53161;Montsûrs;2013.0;1684.0;791.0;728.0
2013;53;Mayenne;53193;Ruillé-Froid-Fonds;511.0;372.0;190.0;256.0
2013;53;Mayenne;53203;Saint-Brice;529.0;406.0;252.0;250.0
2013;53;Mayenne;53207;Saint-Christophe-du-Luat;767.0;521.0;283.0;333.0
2013;53;Mayenne;53208;Saint-Cyr-en-Pail;473.0;387.0;223.0;224.0
2013;53;Mayenne;53215;Saint-Fort;1632.0;1340.0;751.0;752.0
2013;72;Sarthe;72004;Amné;522.0;392.0;270.0;280.0
2013;72;Sarthe;72087;Conflans-sur-Anille;538.0;449.0;261.0;223.0
2013;72;Sarthe;72111;Cures;502.0;332.0;171.0;221.0
2013;72;Sarthe;72166;Longnes;330.0;223.0;97.0;148.0
